pc_time_s,seq_id,module_id,status,tx_drops,PF3 V,PF4 V,PF5 V,PF6 V,LT Load,LH Load,RT Load,RH Load,L Gait,R Gait,L Torque,R Torque,Cal Ready,Control Req,Assist On,H10 Assist
61.689200,9593,0xF0,0x00,0,1.19600010,2.46100020,0.42700002,0.05200000,1.50000000,1.05569172,0.75007719,0.02139144,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.709399,9594,0xF0,0x00,0,1.19800007,2.46400023,0.42600003,0.05200000,1.50000000,1.05576205,0.75065303,0.01603372,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.709399,9595,0xF0,0x00,0,1.19700003,2.46300006,0.42700002,0.05200000,1.50000000,1.05563664,0.75102913,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.709399,9596,0xF0,0x00,0,1.19500005,2.46000004,0.42700002,0.05100000,1.50000000,1.05585098,0.75191337,0.00158116,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.729787,9597,0xF0,0x00,0,1.19700003,2.46400023,0.42800003,0.04900000,1.50000000,1.05581963,0.75195754,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.729787,9598,0xF0,0x00,0,1.19800007,2.46100020,0.42600003,0.05100000,1.50000000,1.05557525,0.75123179,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.750137,9599,0xF0,0x00,0,1.19400001,2.46100020,0.42500001,0.05300000,1.50000000,1.05561411,0.75065202,0.02019040,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.750137,9600,0xF0,0x00,0,1.19600010,2.46200013,0.42600003,0.05500000,1.50000000,1.05564880,0.75119013,0.02763867,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.770524,9601,0xF0,0x00,0,1.19200003,2.46000004,0.42500001,0.05100000,1.50000000,1.05540466,0.75177133,0.02278171,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.770524,9602,0xF0,0x00,0,1.19300008,2.46300006,0.42700002,0.05500000,1.50000000,1.05547845,0.75216782,0.02184324,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
