pc_time_s,seq_id,module_id,status,tx_drops,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
46.847314,9809,0xF0,0x00,0,1.17100000,2.46100020,0.61500001,0.05500000,0.88582259,0.99627787,0.64628083,0.00991747,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.847314,9810,0xF0,0x00,0,1.22600007,2.46300006,0.62800002,0.05700000,0.90515971,0.99604332,0.65957141,0.01120947,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.867763,9811,0xF0,0x00,0,1.27700007,2.45900011,0.64300001,0.05100000,0.93094039,0.99608648,0.67810237,0.01072310,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.867763,9812,0xF0,0x00,0,1.38100004,2.45400023,0.67100000,0.05300000,0.97434270,0.99563676,0.69725579,0.01552418,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.888055,9813,0xF0,0x00,0,1.49000013,2.45700002,0.68900001,0.05200000,1.03430414,0.99510747,0.72280651,0.00227757,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.888055,9814,0xF0,0x00,0,1.62200010,2.45900011,0.70500004,0.05400000,1.11012924,0.99425173,0.74746448,0.00351734,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.908749,9815,0xF0,0x00,0,1.70500004,2.44800019,0.72900003,0.05500000,1.19296360,0.99301910,0.77437031,0.00387698,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.908749,9816,0xF0,0x00,0,1.77800012,2.43700004,0.74400002,0.05300000,1.26755691,0.99050945,0.80032980,0.00056274,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.929564,9817,0xF0,0x00,0,1.85400009,2.42400002,0.76400006,0.05000000,1.33903646,0.98718745,0.82443851,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.929564,9818,0xF0,0x00,0,1.90700006,2.41200018,0.78100002,0.05200000,1.40290260,0.98219752,0.84877098,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
