time_s,pc_time_s,seq_id,module_id,tx_drops,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
1.233000,12.038619,10111,240,0,1.199087,1.004905,0.050278,0.050316,0.564034,0.050492,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.234000,12.070287,10112,240,0,1.276017,1.004926,0.050708,0.050258,0.563596,0.050201,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.235000,12.070395,10113,240,0,1.324681,1.004934,0.050755,0.050335,0.563302,0.050046,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.236000,12.070451,10114,240,0,1.328060,1.004912,0.050492,0.050578,0.563833,0.050203,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.237000,12.070495,10115,240,0,1.295375,1.004878,0.050431,0.050446,0.563540,0.050034,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.238000,12.102490,10116,240,0,1.246660,1.004891,0.050225,0.050414,0.563557,0.050247,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.239000,12.102626,10117,240,0,1.204968,1.004998,0.050552,0.050393,0.563199,0.050266,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.240000,12.102663,10118,240,0,1.161738,1.005157,0.050561,0.050591,0.563148,0.050057,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.241000,12.134098,10119,240,0,1.139358,1.005157,0.050885,0.050785,0.563872,0.049971,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.242000,12.134227,10120,240,0,1.135144,1.005100,0.050853,0.050611,0.563983,0.049608,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.243000,12.134265,10121,240,0,1.139150,1.005096,0.050854,0.050493,0.563704,0.049933,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.244000,12.165334,10122,240,0,1.136286,1.005116,0.050741,0.050450,0.563443,0.050216,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.245000,12.165437,10123,240,0,1.103699,1.005205,0.051466,0.050728,0.563124,0.050037,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.246000,12.165474,10124,240,0,1.075188,1.005185,0.050744,0.050672,0.563741,0.050312,17.534180,-1.955566,0.000000,0.000000,0.000000,0.000000
1.247000,12.196907,10125,240,0,1.063359,1.005199,0.050397,0.050554,0.563622,0.050021,17.534180,-1.955566,0.000000,0.000000,0.000000,0.000000
1.248000,12.196998,10126,240,0,1.065456,1.005367,0.050230,0.050607,0.563532,0.050279,17.534180,-1.955566,0.000000,0.000000,0.000000,0.000000
1.249000,12.197036,10127,240,0,1.065278,1.005433,0.050232,0.050520,0.563515,0.049993,17.534180,-1.955566,0.000000,0.000000,0.000000,0.000000
1.250000,12.228688,10128,240,0,1.053102,1.005367,0.050609,0.050276,0.563406,0.050032,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.251000,12.228779,10129,240,0,1.059741,1.005340,0.050675,0.050328,0.563641,0.050481,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.252000,12.228836,10130,240,0,1.068824,1.005196,0.050841,0.050297,0.564049,0.049898,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.253000,12.228880,10131,240,0,1.059158,1.004992,0.050791,0.050482,0.563934,0.050079,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.254000,12.260344,10132,240,0,1.051813,1.004822,0.050739,0.050375,0.563884,0.050204,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.255000,12.260484,10133,240,0,1.043851,1.004757,0.050843,0.050298,0.563468,0.050267,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.256000,12.260527,10134,240,0,1.050472,1.004713,0.050994,0.050278,0.563959,0.050389,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.257000,12.292987,10135,240,0,1.055951,1.004662,0.050341,0.050310,0.564204,0.050631,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.258000,12.293068,10136,240,0,1.061830,1.004590,0.050499,0.050238,0.564167,0.050528,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.259000,12.293109,10137,240,0,1.085917,1.004438,0.051093,0.050013,0.564400,0.050774,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.260000,12.324081,10138,240,0,1.126291,1.004471,0.050766,0.049834,0.563964,0.050826,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.261000,12.324151,10139,240,0,1.187460,1.004490,0.051001,0.050008,0.563967,0.050531,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.262000,12.324184,10140,240,0,1.233752,1.004467,0.050830,0.050022,0.564018,0.050421,17.534180,-1.955566,0.000000,0.000000,0.000000,0.000000
1.263000,12.355578,10141,240,0,1.275644,1.004476,0.050574,0.050409,0.564255,0.050187,17.534180,-1.955566,0.000000,0.000000,0.000000,0.000000
1.264000,12.355678,10142,240,0,1.303878,1.004526,0.050424,0.050126,0.563885,0.049903,17.534180,-1.955566,0.000000,0.000000,0.000000,0.000000
1.265000,12.355714,10143,240,0,1.298015,1.004520,0.050674,0.049965,0.564325,0.050206,17.534180,-1.955566,0.000000,0.000000,0.000000,0.000000
1.266000,12.387321,10144,240,0,1.277412,1.004479,0.051193,0.049987,0.563686,0.050393,17.534180,-1.955566,0.000000,0.000000,0.000000,0.000000
1.267000,12.387529,10145,240,0,1.255189,1.004344,0.050910,0.049870,0.564280,0.050001,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.268000,12.387568,10146,240,0,1.217871,1.004368,0.050753,0.049903,0.565018,0.050062,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.269000,12.420041,10147,240,0,1.176883,1.004500,0.050605,0.049853,0.564362,0.050083,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.270000,12.420106,10148,240,0,1.135126,1.004705,0.050604,0.049972,0.563732,0.050197,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.271000,12.420140,10149,240,0,1.082506,1.004899,0.051253,0.050041,0.563614,0.050002,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.272000,12.420167,10150,240,0,1.024926,1.005146,0.051217,0.050154,0.564103,0.050676,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.273000,12.450845,10151,240,0,0.961072,1.005299,0.050709,0.050158,0.564396,0.050514,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.274000,12.450946,10152,240,0,0.904278,1.005341,0.050163,0.050169,0.564732,0.050368,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.275000,12.450977,10153,240,0,0.865377,1.005432,0.050173,0.049965,0.564156,0.050657,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.276000,12.482677,10154,240,0,0.826405,1.005538,0.050680,0.049767,0.564020,0.050375,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.277000,12.482751,10155,240,0,0.779244,1.005785,0.050690,0.049738,0.564076,0.050314,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.278000,12.482794,10156,240,0,0.727680,1.006006,0.050219,0.049947,0.564378,0.050559,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.279000,12.514411,10157,240,0,0.667646,1.006196,0.049934,0.049987,0.564220,0.050445,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.280000,12.514518,10158,240,0,0.608358,1.006329,0.050177,0.050042,0.564518,0.050878,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
